date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:38:37	69211/69211	---M-Z	200	added ('OK')	text/html	etag:%2210e5b-657d35a5-879a37418f7a7f35;gz%22	https://themegenix.net/html/zaira/index.html	C:/My%20Web%20Sites/new/themegenix.net/html/zaira/index.html	(from )
20:38:37	109/109	---MCZ	200	added ('OK')	text/plain	etag:%223895-1716471817;gz%22	https://themegenix.net/robots.txt		(from )
20:38:37	1241/1241	---M--	200	added ('OK')	image/png	etag:%224d9-657d35a7-d211cf7f7a80f363;;;%22	https://themegenix.net/html/zaira/assets/img/favicon.png	C:/My%20Web%20Sites/new/themegenix.net/html/zaira/assets/img/favicon.png	(from https://themegenix.net/html/zaira/index.html)
20:38:38	163873/163873	---M-Z	200	added ('OK')	text/css	etag:%2228021-657d35a5-95f48e083e2ba168;gz%22	https://themegenix.net/html/zaira/assets/css/bootstrap.min.css	C:/My%20Web%20Sites/new/themegenix.net/html/zaira/assets/css/bootstrap.min.css	(from https://themegenix.net/html/zaira/index.html)
20:38:38	68601/68601	---M-Z	200	added ('OK')	text/css	etag:%2210bf9-657d35a5-b143c07c9b96ee67;gz%22	https://themegenix.net/html/zaira/assets/css/animate.min.css	C:/My%20Web%20Sites/new/themegenix.net/html/zaira/assets/css/animate.min.css	(from https://themegenix.net/html/zaira/index.html)
20:38:38	6951/6951	---M-Z	200	added ('OK')	text/css	etag:%221b27-657d35a6-4f56b800d2eddbc1;gz%22	https://themegenix.net/html/zaira/assets/css/magnific-popup.css	C:/My%20Web%20Sites/new/themegenix.net/html/zaira/assets/css/magnific-popup.css	(from https://themegenix.net/html/zaira/index.html)
20:38:38	59251/59251	---M-Z	200	added ('OK')	text/css	etag:%22e773-657d35a6-b2ca00b035f74886;gz%22	https://themegenix.net/html/zaira/assets/css/fontawesome-all.min.css	C:/My%20Web%20Sites/new/themegenix.net/html/zaira/assets/css/fontawesome-all.min.css	(from https://themegenix.net/html/zaira/index.html)
20:38:39	2045/2045	---M-Z	200	added ('OK')	text/css	etag:%227fd-657d35a5-9599a447e177f2da;gz%22	https://themegenix.net/html/zaira/assets/css/flaticon.css	C:/My%20Web%20Sites/new/themegenix.net/html/zaira/assets/css/flaticon.css	(from https://themegenix.net/html/zaira/index.html)
20:38:39	1776/1776	---M-Z	200	added ('OK')	text/css	etag:%226f0-657d35a6-786e4c2045c40496;gz%22	https://themegenix.net/html/zaira/assets/css/slick.css	C:/My%20Web%20Sites/new/themegenix.net/html/zaira/assets/css/slick.css	(from https://themegenix.net/html/zaira/index.html)
20:38:39	15806/15806	---M-Z	200	added ('OK')	text/css	etag:%223dbe-657d35a6-1197fa9c5a9fbc10;gz%22	https://themegenix.net/html/zaira/assets/css/swiper-bundle.css	C:/My%20Web%20Sites/new/themegenix.net/html/zaira/assets/css/swiper-bundle.css	(from https://themegenix.net/html/zaira/index.html)
20:38:39	8636/8636	---M-Z	200	added ('OK')	text/css	etag:%2221bc-657d35a5-4a8092ace7c88248;gz%22	https://themegenix.net/html/zaira/assets/css/default.css	C:/My%20Web%20Sites/new/themegenix.net/html/zaira/assets/css/default.css	(from https://themegenix.net/html/zaira/index.html)
20:38:40	155199/155199	---M-Z	200	added ('OK')	text/css	etag:%2225e3f-657d35a6-36a9481752542d5b;gz%22	https://themegenix.net/html/zaira/assets/css/style.css	C:/My%20Web%20Sites/new/themegenix.net/html/zaira/assets/css/style.css	(from https://themegenix.net/html/zaira/index.html)
20:38:40	22518/22518	---M-Z	200	added ('OK')	text/css	etag:%2257f6-657d35a6-62ce4acfbdf94bbd;gz%22	https://themegenix.net/html/zaira/assets/css/responsive.css	C:/My%20Web%20Sites/new/themegenix.net/html/zaira/assets/css/responsive.css	(from https://themegenix.net/html/zaira/index.html)
20:38:40	29858/29858	---M-Z	200	added ('OK')	text/html	etag:%2274a2-657d35a5-9915851a55255575;gz%22	https://themegenix.net/html/zaira/contact.html	C:/My%20Web%20Sites/new/themegenix.net/html/zaira/contact.html	(from https://themegenix.net/html/zaira/index.html)
20:38:40	33459/33459	---M-Z	200	added ('OK')	text/html	etag:%2282b3-657d35a5-ea57cd5176a47569;gz%22	https://themegenix.net/html/zaira/about.html	C:/My%20Web%20Sites/new/themegenix.net/html/zaira/about.html	(from https://themegenix.net/html/zaira/index.html)
